,r32,sweet16,elite8,final4,championship,national champion
0,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
1,Northwestern,UAB,BYU,North Carolina,Florida,
2,UAB,BYU,North Carolina,Florida,,
3,Auburn,Iowa State,New Mexico,Tennessee,,
4,BYU,North Carolina,Houston,,,
5,Illinois,Charleston,Florida,,,
6,Drake,New Mexico,Gonzaga,,,
7,Iowa State,Arizona,Tennessee,,,
8,North Carolina,Houston,,,,
9,Michigan State,Wisconsin,,,,
10,Grand Canyon,Texas Tech,,,,
11,Charleston,Florida,,,,
12,New Mexico,Purdue,,,,
13,Baylor,Gonzaga,,,,
14,Dayton,Oregon,,,,
15,Arizona,Tennessee,,,,
16,Houston,,,,,
17,Nebraska,,,,,
18,Wisconsin,,,,,
19,Vermont,,,,,
20,Texas Tech,,,,,
21,Kentucky,,,,,
22,Florida,,,,,
23,Marquette,,,,,
24,Purdue,,,,,
25,Utah State,,,,,
26,Gonzaga,,,,,
27,Samford,,,,,
28,Oregon,,,,,
29,Creighton,,,,,
30,Texas,,,,,
31,Tennessee,,,,,
