"",r32,sweet16,elite8,final4,championship,national champion
0,Connecticut,Connecticut,Connecticut,Iowa State,Iowa State,Iowa State
1,FAU,San Diego State,Iowa State,Clemson,Nebraska,
2,San Diego State,BYU,North Carolina,Nebraska,,
3,Auburn,Iowa State,Clemson,Virginia,,
4,BYU,North Carolina,Nebraska,,,
5,Morehead State,Grand Canyon,Western Kentucky,,,
6,Drake,Clemson,Kansas,,,
7,Iowa State,Nevada,Virginia,,,
8,North Carolina,Nebraska,,,,
9,Michigan State,Wisconsin,,,,
10,Grand Canyon,Kentucky,,,,
11,Alabama,Western Kentucky,,,,
12,Clemson,Purdue,,,,
13,Baylor,Kansas,,,,
14,Nevada,South Carolina,,,,
15,Arizona,Virginia,,,,
16,Houston,,,,,
17,Nebraska,,,,,
18,Wisconsin,,,,,
19,Duke,,,,,
20,North Carolina State,,,,,
21,Kentucky,,,,,
22,Boise State,,,,,
23,Western Kentucky,,,,,
24,Purdue,,,,,
25,Utah State,,,,,
26,Gonzaga,,,,,
27,Kansas,,,,,
28,South Carolina,,,,,
29,Creighton,,,,,
30,Virginia,,,,,
31,Saint Peter's,,,,,
