"",r32,sweet16,elite8,final4,championship,national champion
0,Connecticut,Connecticut,Auburn,Auburn,North Carolina,North Carolina
1,FAU,Auburn,Washington State,North Carolina,Texas Tech,
2,San Diego State,BYU,North Carolina,Texas Tech,,
3,Auburn,Washington State,Dayton,Kansas,,
4,BYU,North Carolina,Texas A&M,,,
5,Illinois,Grand Canyon,Texas Tech,,,
6,Washington State,New Mexico,Kansas,,,
7,Iowa State,Dayton,Texas,,,
8,North Carolina,Texas A&M,,,,
9,Michigan State,Duke,,,,
10,Grand Canyon,Texas Tech,,,,
11,Charleston,Boise State,,,,
12,New Mexico,Purdue,,,,
13,Baylor,Kansas,,,,
14,Dayton,South Carolina,,,,
15,Arizona,Texas,,,,
16,Houston,,,,,
17,Texas A&M,,,,,
18,Wisconsin,,,,,
19,Duke,,,,,
20,Texas Tech,,,,,
21,Kentucky,,,,,
22,Boise State,,,,,
23,Marquette,,,,,
24,Purdue,,,,,
25,TCU,,,,,
26,Gonzaga,,,,,
27,Kansas,,,,,
28,South Carolina,,,,,
29,Creighton,,,,,
30,Texas,,,,,
31,Saint Peter's,,,,,
